ticket_id,created_at_utc,status
2793488,2026-07-04T02:33:03Z,closed
2793507,2026-07-04T02:30:54Z,closed
2793522,2026-07-04T02:30:59Z,closed
2811586,2026-07-07T23:29:35Z,closed
2811587,2026-07-07T23:00:16Z,closed
2811768,2026-07-08T00:07:27Z,closed
2811769,2026-07-07T23:49:28Z,closed
2811786,2026-07-07T23:40:53Z,closed
2811815,2026-07-07T23:48:31Z,closed
2811846,2026-07-07T23:53:03Z,closed
2811973,2026-07-08T00:12:48Z,closed
2812105,2026-07-08T00:53:14Z,closed
2812130,2026-07-08T00:53:32Z,closed
2814809,2026-07-08T23:53:16Z,closed
2816942,2026-07-09T18:44:30Z,closed
2820843,2026-07-10T20:58:04Z,closed
2823992,2026-07-11T16:37:10Z,closed
2827017,2026-07-12T03:53:35Z,closed
2827311,2026-07-12T04:34:41Z,closed
2829965,2026-07-13T04:25:45Z,closed
2830500,2026-07-13T14:41:04Z,closed
2832739,2026-07-14T11:49:31Z,closed
2841664,2026-07-17T01:11:10Z,closed
2845398,2026-07-18T13:45:19Z,closed
2846023,2026-07-18T17:30:36Z,closed
2847393,2026-07-18T23:47:51Z,closed
2852282,2026-07-19T22:13:33Z,closed
